City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
450,Inirida,CO,71.4,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
461,Larnaca,CY,75.2,clear sky,34.9167,33.6292,Flamingo Beach Hotel
463,Quanzhou,CN,71.6,light rain,24.9139,118.5858,Quanzhou Nice Youth Hostel
465,San Carlos,VE,73.02,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
466,Pedasi,PA,79.27,broken clouds,7.5333,-80.0333,Selina Pedasi
467,Shishou,CN,74.86,overcast clouds,29.7226,112.419,Chuyuan Hotel
468,Matadi,CD,80.92,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
472,Omboue,GA,80.55,overcast clouds,-1.5746,9.2618,Hotel Olako
473,Nanakuli,US,75.2,light rain,21.3906,-158.1547,Camp Pālehua
476,Turayf,SA,71.6,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
477,Axim,GH,83.91,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
479,Kavieng,PG,82.49,light rain,-2.5744,150.7967,Nusa Island Retreat
485,Tsaratanana,MG,84.04,clear sky,-16.7833,47.65,
488,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
490,Igurusi,TZ,74.68,light rain,-8.85,33.85,Dadi Lodge
497,Labuhan,ID,84.7,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
500,Pundaguitan,PH,83.08,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
501,Broken Hill,AU,71.6,broken clouds,-31.95,141.4333,Royal Exchange Hotel
507,Waingapu,ID,81.73,few clouds,-9.6567,120.2641,Pondok Wisata Elim
509,Buta,CD,83.19,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
515,Caravelas,BR,70.9,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
522,Nabire,ID,82.54,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
523,Mvuma,ZW,77.4,scattered clouds,-19.2792,30.5283,
524,Bozhou,CN,74.16,overcast clouds,33.8772,115.7703,Haitian Hotel
527,Guatire,VE,75.2,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
530,Balkhash,KZ,80.6,clear sky,46.844,74.9804,Family
535,Canton,CN,73.0,mist,23.1167,113.25,Guangzhou Hotel
539,Linhares,BR,71.76,overcast clouds,-19.3911,-40.0722,Hotel Conceição
544,Kieta,PG,80.67,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
546,Itoman,JP,75.2,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
550,Bima,ID,84.94,overcast clouds,-8.4667,118.7167,Lambitu Hotel
552,Soe,ID,75.16,broken clouds,-9.8607,124.284,Dena Hotel
555,Manta,EC,73.42,overcast clouds,-0.95,-80.7333,Balandra Hotel
559,Biak,ID,82.81,overcast clouds,-0.9131,122.8766,Penginapan Kim
562,Yulara,AU,78.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
563,Saint-Georges,GD,80.6,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
564,Sumbe,AO,80.6,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
569,Condado,CU,73.4,scattered clouds,21.8767,-79.8403,Casa Guachinango
574,Kulhudhuffushi,MV,84.56,broken clouds,6.6221,73.07,Haajy Guest House 1
575,Sungai Besar,MY,80.6,scattered clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
581,Jamiltepec,MX,72.57,clear sky,16.2833,-97.8167,Hotel Cádiz
584,Murgab,TM,82.4,haze,37.4966,61.9714,
585,Port-Gentil,GA,84.2,moderate rain,-0.7193,8.7815,Fengshui Residence
593,Samarai,PG,79.86,light rain,-10.6167,150.6667,Nuli Sapi
595,Makueni,KE,76.53,few clouds,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
596,Cockburn Town,TC,77.63,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
606,Sorong,ID,82.42,light rain,-0.8833,131.25,waigo splash hotel
607,Jibuti,DJ,84.2,light rain,11.5,42.5,Orchid Main Camp Goubet
