City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Araouane,ML,18.9048,-3.5265,91.2,12,54,15.59,broken clouds
138,Boende,CD,-0.2167,20.8667,77.81,83,100,1.5,overcast clouds
139,Saskylakh,RU,71.9167,114.0833,33.57,86,80,7.67,broken clouds
140,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,77.0,88,0,2.3,clear sky
141,Bumba,CD,2.1833,22.4667,83.39,64,97,1.83,overcast clouds
142,Mogadishu,SO,2.0371,45.3438,87.8,62,40,8.05,scattered clouds
143,Baoro,CF,5.6667,15.9667,79.21,65,97,4.99,overcast clouds
144,Lima,PE,-12.0432,-77.0282,64.0,94,90,6.91,overcast clouds
145,Churapcha,RU,62.0025,132.4325,31.59,96,100,9.8,light snow
146,Auki,SB,-8.7676,160.7034,76.89,87,100,2.57,overcast clouds
147,Kaitangata,NZ,-46.2817,169.8464,55.0,68,77,8.99,broken clouds
148,Ponta Do Sol,PT,32.6667,-17.1,59.0,81,94,1.01,overcast clouds
149,Kismayo,SO,-0.3582,42.5454,87.55,62,19,9.8,few clouds
150,Huilong,CN,31.8111,121.655,79.0,65,100,8.21,overcast clouds
151,Bozeman,US,45.6796,-111.0386,39.99,70,1,6.91,clear sky
152,Omsukchan,RU,62.5333,155.8,23.59,87,33,4.09,scattered clouds
153,Kahului,US,20.8947,-156.47,71.6,94,40,4.61,scattered clouds
154,Sapouy,BF,11.5544,-1.7736,86.81,47,67,9.73,broken clouds
155,Padang,ID,-0.9492,100.3543,86.0,70,20,6.91,few clouds
156,Strezhevoy,RU,60.7333,77.5889,50.0,40,0,8.95,clear sky
157,Leirvik,NO,59.7798,5.5005,45.0,75,0,4.61,clear sky
158,Grindavik,IS,63.8424,-22.4338,42.8,87,75,9.22,broken clouds
159,Port Hardy,CA,50.6996,-127.4199,48.2,93,90,9.22,moderate rain
160,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,63,20,6.91,few clouds
161,Scottsboro,US,34.6723,-86.0341,69.01,100,90,2.84,overcast clouds
162,Broome,US,42.2506,-75.833,62.6,51,75,9.22,broken clouds
163,Sitka,US,57.0531,-135.33,44.6,93,90,5.12,light rain
164,Khatanga,RU,71.9667,102.5,32.79,99,57,6.49,broken clouds
165,Ortakoy,TR,38.7373,34.0387,68.0,37,0,9.22,clear sky
166,Boffa,GN,10.1667,-14.0333,78.15,69,27,1.43,scattered clouds
167,Sandeid,NO,59.5449,5.8636,48.2,53,0,3.44,clear sky
168,Leningradskiy,RU,69.3833,178.4167,19.27,81,69,9.8,broken clouds
169,Longyearbyen,SJ,78.2186,15.6401,19.4,63,75,5.75,broken clouds
170,Minas,UY,-34.3759,-55.2377,48.2,100,20,2.3,few clouds
171,Chokurdakh,RU,70.6333,147.9167,25.09,95,100,11.63,light snow
172,Sao Filipe,CV,14.8961,-24.4956,72.16,75,4,9.44,clear sky
173,Alofi,NU,-19.0595,-169.9187,78.8,100,100,9.22,light rain
174,Constitucion,CL,-35.3333,-72.4167,55.76,68,42,7.02,scattered clouds
175,Genhe,CN,50.7833,121.5167,43.36,44,100,5.37,overcast clouds
176,Rio Gallegos,AR,-51.6226,-69.2181,37.4,93,0,8.05,clear sky
177,Miquelon,PM,47.0975,-56.3814,38.48,94,100,16.24,overcast clouds
178,Umm Lajj,SA,25.0213,37.2685,82.8,46,0,10.22,clear sky
179,Mocuba,MZ,-16.8392,36.9856,81.88,66,23,4.72,few clouds
180,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,88,75,9.1,broken clouds
181,Guerrero Negro,MX,27.9769,-114.0611,57.38,81,3,17.58,clear sky
182,Zyryanka,RU,65.75,150.85,32.45,90,100,7.02,overcast clouds
183,Okha,RU,53.5739,142.9478,31.24,77,100,14.2,overcast clouds
184,Ada,US,43.4166,-116.1262,46.4,66,1,4.61,clear sky
185,Shitanjing,CN,39.2342,106.3439,57.33,13,52,32.55,broken clouds
186,Nouadhibou,MR,20.931,-17.0347,64.4,94,0,12.66,clear sky
187,Van,TR,38.4924,43.3831,59.0,55,40,4.61,scattered clouds
188,Xuddur,SO,4.1213,43.8894,88.79,45,40,8.95,scattered clouds
189,Oga,IT,46.4631,10.347,55.0,93,20,2.3,few clouds
190,Mombetsu,JP,44.3525,143.3525,51.8,46,0,9.22,clear sky
191,Hammerfest,NO,70.6634,23.6821,26.6,80,75,10.36,light snow
192,Kavieng,PG,-2.5744,150.7967,82.49,73,75,5.26,light rain
193,Pangnirtung,CA,66.1451,-65.7125,16.21,57,1,7.61,clear sky
194,Jumla,NP,29.2747,82.1838,62.37,50,99,7.31,overcast clouds
195,Tommot,RU,58.9564,126.2925,31.06,87,100,7.65,light snow
196,Portsmouth,GB,50.799,-1.0913,48.99,100,100,8.5,overcast clouds
197,Pitogo,PH,13.7847,122.0881,84.4,56,16,11.54,few clouds
198,Shumerlya,RU,55.5005,46.4129,37.85,87,100,8.3,overcast clouds
199,Muros,ES,42.7762,-9.0603,54.0,75,91,1.99,overcast clouds
200,Saint-Georges,GD,12.0564,-61.7485,80.6,78,20,11.5,few clouds
201,Sfantu Gheorghe,RO,45.8667,25.7833,44.01,89,100,7.0,overcast clouds
202,Kodiak,US,57.79,-152.4072,44.6,81,90,18.41,light rain
203,Elizabeth City,US,36.2946,-76.2511,64.99,82,1,12.66,clear sky
204,Hamilton,US,39.1834,-84.5333,70.0,52,75,10.36,broken clouds
205,Lagoa,PT,39.05,-27.9833,59.4,80,100,13.56,overcast clouds
206,Hambantota,LK,6.1241,81.1185,91.4,75,75,10.36,broken clouds
207,Rock Hill,US,34.9249,-81.0251,63.0,82,1,5.75,clear sky
208,Bonfim,BR,3.0833,-59.95,73.76,87,99,2.42,overcast clouds
209,Manadhoo,MV,5.7667,73.3833,84.2,73,68,6.91,broken clouds
210,Faanui,PF,-16.4833,-151.75,81.84,72,18,12.48,few clouds
211,Utinga,BR,-5.8172,-35.3954,75.2,94,40,3.44,scattered clouds
212,Afrikanda,RU,67.4429,32.7828,34.0,100,97,6.4,overcast clouds
213,Necochea,AR,-38.5473,-58.7368,55.99,85,2,4.0,clear sky
214,Pisco,PE,-13.7,-76.2167,64.4,94,90,4.61,overcast clouds
215,Saint George,US,37.1041,-113.5841,54.0,50,1,10.36,clear sky
216,Champerico,GT,14.3,-91.9167,64.99,93,100,2.17,overcast clouds
217,La Seyne-Sur-Mer,FR,43.0982,5.8847,59.0,77,94,1.01,overcast clouds
218,Neiafu,TO,-18.65,-173.9833,77.0,94,90,9.22,light rain
219,Luba,GQ,3.4568,8.5547,73.4,94,75,1.14,moderate rain
220,Kupino,RU,54.3663,77.2981,51.15,79,89,16.58,overcast clouds
221,Lorengau,PG,-2.0226,147.2712,82.74,75,51,7.76,heavy intensity rain
222,Harper,LR,4.375,-7.7169,79.75,84,100,5.66,light rain
223,Sistranda,NO,63.7256,8.834,33.8,93,75,8.05,light rain
224,Lebu,CL,-37.6167,-73.65,53.91,89,92,2.26,overcast clouds
225,Gorom-Gorom,BF,14.4439,-0.2361,93.81,27,78,10.85,broken clouds
226,Cartagena,CO,10.3997,-75.5144,80.6,83,75,12.66,broken clouds
227,Naze,JP,28.3667,129.4833,73.4,73,75,10.36,broken clouds
228,Yeppoon,AU,-23.1333,150.7333,75.2,57,90,6.91,overcast clouds
229,Saint-Pierre,RE,-21.3393,55.4781,80.6,74,100,21.85,light rain
230,Surt,LY,31.2089,16.5887,90.57,16,100,22.48,overcast clouds
231,Kawalu,ID,-7.3817,108.2082,80.28,73,81,5.46,broken clouds
232,Port-Cartier,CA,50.0334,-66.8654,43.0,75,100,5.75,overcast clouds
233,Karratha,AU,-20.7377,116.8463,92.23,20,0,8.95,clear sky
234,Borogontsy,RU,62.6683,131.1683,30.25,79,97,8.39,overcast clouds
235,Mulki,IN,13.1,74.8,89.6,66,75,6.91,broken clouds
236,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,82,75,6.91,broken clouds
237,Kommunar,RU,59.6206,30.39,35.01,86,90,6.71,snow
238,Tytuvenai,LT,55.6,23.2,41.0,60,20,2.3,few clouds
239,Salaga,GH,8.5508,-0.5188,84.56,65,69,7.85,broken clouds
240,Pitimbu,BR,-7.4706,-34.8086,73.4,100,75,4.61,broken clouds
241,Mitsamiouli,KM,-11.3847,43.2844,87.8,62,20,5.75,light rain
242,Ekhabi,RU,53.5102,142.9671,31.1,78,100,13.89,overcast clouds
243,Kaseda,JP,31.4167,130.3167,66.2,77,75,4.61,light rain
244,Lac Du Bonnet,CA,50.2536,-96.0612,33.01,99,8,1.21,clear sky
245,Saint-Philippe,RE,-21.3585,55.7679,82.4,74,100,21.85,light rain
246,San Matias,BO,-16.3667,-58.4,65.12,68,99,3.44,overcast clouds
247,Road Town,VG,18.4167,-64.6167,75.2,78,90,9.22,overcast clouds
248,Fortuna,US,40.5982,-124.1573,48.0,100,1,3.53,clear sky
249,Shirokiy,RU,49.758,129.523,57.54,28,100,9.46,overcast clouds
250,Kapaa,US,22.0752,-159.319,69.8,94,75,4.61,broken clouds
251,Gat,IL,31.61,34.7642,73.99,47,0,1.01,clear sky
252,Porbandar,IN,21.6422,69.6093,93.2,55,1,11.5,clear sky
253,Luderitz,NA,-26.6481,15.1594,66.88,61,1,8.95,clear sky
254,Hailey,US,43.5196,-114.3153,39.2,65,1,10.36,clear sky
255,Correntina,BR,-13.3433,-44.6367,69.67,83,54,1.52,broken clouds
256,Kharan,PK,28.5833,65.4167,97.66,10,99,2.35,overcast clouds
257,Amahai,ID,-3.3333,128.9167,83.66,67,72,4.18,broken clouds
258,Antofagasta,CL,-23.65,-70.4,59.0,67,0,4.61,clear sky
259,Ajaccio,FR,42.0,8.9167,59.0,88,90,5.75,overcast clouds
260,Axim,GH,4.8699,-2.2405,83.91,77,100,5.84,overcast clouds
261,Pemba,MZ,-12.974,40.5178,84.2,79,40,6.91,light rain
262,Aksarka,RU,66.5606,67.7975,29.84,86,97,7.78,overcast clouds
263,Souillac,MU,-20.5167,57.5167,78.8,89,75,18.41,moderate rain
264,Dunedin,NZ,-45.8742,170.5036,55.0,75,99,5.99,overcast clouds
265,Labuhan,ID,-6.8844,112.2051,85.19,63,66,5.66,broken clouds
266,Shingu,JP,33.7333,135.9833,62.6,94,75,14.97,broken clouds
267,Seoul,KR,37.5683,126.9778,66.2,42,0,8.05,clear sky
268,Venado Tuerto,AR,-33.7456,-61.9688,54.0,99,0,5.01,clear sky
269,San Andres,CO,12.5847,-81.7006,78.8,83,75,9.22,broken clouds
270,Bredy,RU,52.4153,60.3411,52.52,54,100,13.22,overcast clouds
271,Tocopilla,CL,-22.092,-70.1979,64.89,71,1,5.06,clear sky
272,Nome,US,64.5011,-165.4064,30.99,93,1,3.44,clear sky
273,Uravakonda,IN,14.95,77.2667,99.54,22,5,5.32,clear sky
274,Mangan,IN,27.5167,88.5333,83.52,38,96,2.39,overcast clouds
275,Guilin,CN,25.2819,110.2864,68.0,83,90,4.47,overcast clouds
276,Mega,ET,4.05,38.3,72.79,51,37,13.13,scattered clouds
277,Buala,SB,-8.145,159.5921,77.14,86,100,7.9,moderate rain
278,Antalaha,MG,-14.9003,50.2788,83.77,64,64,8.81,broken clouds
279,Valdivia,CL,-39.8142,-73.2459,59.0,88,90,2.3,overcast clouds
280,Merauke,ID,-8.4667,140.3333,81.93,80,84,11.92,broken clouds
281,Flinders,AU,-34.5833,150.8552,68.0,69,85,1.01,overcast clouds
282,Fairbanks,US,64.8378,-147.7164,37.4,48,1,3.44,clear sky
283,Broken Hill,AU,-31.95,141.4333,71.6,26,61,12.66,broken clouds
284,Mykolayivka,UA,47.5414,30.7561,47.82,55,100,8.08,overcast clouds
285,Shelburne,CA,44.0787,-80.2041,46.99,73,99,3.74,overcast clouds
286,Ziyang,CN,29.2497,117.8547,68.68,83,100,3.18,light rain
287,Arlit,NE,18.7369,7.3853,97.27,7,0,6.24,clear sky
288,Ancud,CL,-41.8697,-73.8203,54.0,100,90,1.05,fog
289,Ust-Kuyga,RU,70.0167,135.6,23.13,79,77,6.62,broken clouds
290,Thinadhoo,MV,0.5333,72.9333,83.05,64,57,3.91,broken clouds
291,San Policarpo,PH,12.1791,125.5072,81.72,69,59,9.33,broken clouds
292,Te Anau,NZ,-45.4167,167.7167,47.26,94,100,1.72,overcast clouds
293,Yulara,AU,-25.2406,130.9889,78.8,17,0,11.5,clear sky
294,Martapura,ID,-3.4167,114.85,91.4,55,40,8.05,scattered clouds
295,Gidole,ET,5.65,37.3667,68.99,55,9,3.62,clear sky
296,Tanout,NE,14.9709,8.8879,92.68,8,9,14.18,clear sky
297,Veraval,IN,20.9,70.3667,89.76,50,1,11.23,clear sky
298,Shahreza,IR,32.0339,51.8794,75.58,17,18,6.98,few clouds
299,Mareeba,AU,-17.0,145.4333,78.8,65,80,12.66,broken clouds
300,Butaritari,KI,3.0707,172.7902,82.35,77,16,9.01,moderate rain
301,Tiksi,RU,71.6872,128.8694,26.06,85,100,17.11,overcast clouds
302,Lavrentiya,RU,65.5833,-171.0,31.32,93,100,2.04,overcast clouds
303,Ust-Ilimsk,RU,58.0006,102.6619,41.4,50,76,5.01,broken clouds
304,Talnakh,RU,69.4865,88.3972,33.4,97,100,10.18,overcast clouds
305,Ferkessedougou,CI,9.6,-5.2,81.54,65,100,9.15,overcast clouds
306,Nioro,GM,13.35,-15.75,75.92,34,57,5.99,broken clouds
307,Xiashi,CN,30.5363,120.6864,75.2,57,75,6.71,haze
308,Snezhnogorsk,RU,69.1933,33.2531,30.2,64,75,8.95,light snow
309,Cidreira,BR,-30.1811,-50.2056,57.27,85,59,11.61,broken clouds
310,Peto,MX,20.1333,-88.9167,71.42,98,33,2.77,scattered clouds
311,Buchanan,LR,5.8808,-10.0467,73.4,94,75,3.15,broken clouds
312,Mahalingpur,IN,16.3833,75.1167,98.29,18,0,3.22,clear sky
313,Mairana,BO,-18.1167,-63.9333,46.53,89,100,3.2,overcast clouds
314,Bengkulu,ID,-3.8004,102.2655,83.46,76,92,4.65,overcast clouds
315,Huntingdon,GB,52.3305,-0.1865,48.0,80,100,7.0,overcast clouds
316,Kirakira,SB,-10.4544,161.9205,78.44,78,91,7.07,overcast clouds
317,Ramsgate,GB,51.3358,1.4155,50.0,68,100,1.99,overcast clouds
318,Mongar,BT,27.2747,91.2396,76.55,37,77,5.21,broken clouds
319,Mount Gambier,AU,-37.8333,140.7667,60.8,67,75,6.91,broken clouds
320,Nuevo Progreso,MX,23.1667,-97.95,78.01,72,99,4.0,overcast clouds
321,Panjakent,TJ,39.4952,67.6093,87.8,23,0,6.91,clear sky
322,Zharkent,KZ,44.1628,80.0,86.13,11,1,6.49,clear sky
323,Faya,SA,18.3851,42.4509,68.0,45,40,6.91,scattered clouds
324,Sola,VU,-13.8833,167.55,82.4,78,20,16.96,few clouds
325,Saint-Joseph,RE,-21.3667,55.6167,80.6,74,100,21.85,light rain
326,Lampazos De Naranjo,MX,27.0167,-100.5167,79.29,70,58,7.2,broken clouds
327,Lyngseidet,NO,69.5763,20.2189,32.0,74,75,3.44,light snow
328,Upata,VE,8.0086,-62.3989,75.99,82,100,4.0,overcast clouds
329,Dingle,PH,10.9995,122.6711,85.91,59,79,10.22,broken clouds
330,Vardo,NO,70.3705,31.1107,26.6,86,90,18.41,snow
331,Henties Bay,NA,-22.116,14.2845,60.01,95,2,5.01,clear sky
332,Chiriqui Grande,PA,8.95,-82.1167,72.23,87,100,3.67,overcast clouds
333,Roma,US,43.2128,-75.4557,54.0,76,90,3.44,light rain
334,Discovery Bay,US,37.9085,-121.6002,62.6,34,1,10.36,clear sky
335,Teahupoo,PF,-17.8333,-149.2667,78.8,78,20,3.44,few clouds
336,Cayenne,GF,4.9333,-52.3333,73.99,100,0,5.48,clear sky
337,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,50.09,88,5,6.26,clear sky
338,Waiouru,NZ,-39.4833,175.6667,38.55,86,26,1.99,scattered clouds
339,Port Blair,IN,11.6667,92.75,87.58,60,20,5.39,few clouds
340,Kamina,CD,-8.7386,24.9906,75.67,69,69,5.93,broken clouds
341,Chaman,PK,30.9236,66.4512,89.19,10,33,10.67,scattered clouds
342,Egersund,NO,58.4513,5.9997,41.0,74,9,4.74,clear sky
343,Svetlyy,RU,54.675,20.1347,42.8,70,40,6.71,scattered clouds
344,Oktyabrskiy,RU,54.4815,53.471,50.41,45,95,21.83,overcast clouds
345,Katsuura,JP,35.1333,140.3,71.6,53,75,21.85,broken clouds
346,Chapleau,CA,47.8405,-83.4034,33.62,93,100,4.36,light snow
347,Meulaboh,ID,4.1363,96.1285,85.64,70,100,6.73,overcast clouds
348,Trelew,AR,-43.249,-65.3051,61.57,58,100,8.77,overcast clouds
