City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Inza,RU,2021-04-27 23:21:42,53.8533,46.3586,34.95,91,61,10.76
93,Faanui,PF,2021-04-27 23:21:42,-16.4833,-151.75,81.68,71,22,9.95
94,Severo-Kurilsk,RU,2021-04-27 23:21:42,50.6789,156.125,33.82,96,100,18.01
95,Fort Nelson,CA,2021-04-27 23:21:43,58.8053,-122.7002,17.6,62,90,3.36
96,Vestmannaeyjar,IS,2021-04-27 23:21:43,63.4427,-20.2734,44.28,78,38,20.2
97,Sur,OM,2021-04-27 23:21:44,22.5667,59.5289,85.12,39,74,10.85
98,Bousso,TD,2021-04-27 23:21:44,10.4795,16.7117,86.81,17,11,4.81
99,Pevek,RU,2021-04-27 23:21:44,69.7008,170.3133,17.91,92,97,8.55
100,Obo,CF,2021-04-27 23:21:44,5.3998,26.4869,71.62,60,25,3.51
101,Tambovka,RU,2021-04-27 23:21:45,50.0969,128.0489,44.6,61,40,4.47
102,Tiksi,RU,2021-04-27 23:21:45,71.6872,128.8694,8.47,88,57,7.54
103,Magdagachi,RU,2021-04-27 23:21:45,53.45,125.8,44.62,47,33,5.39
104,Hilo,US,2021-04-27 23:18:58,19.7297,-155.09,84.2,51,1,10.36
105,Dikson,RU,2021-04-27 23:21:46,73.5069,80.5464,31.89,97,100,16.24
106,Najibabad,IN,2021-04-27 23:21:46,29.6333,78.3333,79.34,21,0,4.52
107,Poum,NC,2021-04-27 23:21:46,-20.2333,164.0167,75.54,55,0,18.39
108,Ribeira Grande,PT,2021-04-27 23:21:47,38.5167,-28.7,60.76,81,97,12.68
109,Buin,CL,2021-04-27 23:21:47,-33.7333,-70.75,68.0,67,0,11.5
110,Dilla,ET,2021-04-27 23:21:47,6.41,38.31,59.52,90,21,4.56
111,Sistranda,NO,2021-04-27 23:21:48,63.7256,8.834,35.6,80,40,5.75
112,Matsuura,JP,2021-04-27 23:21:48,33.3271,129.721,60.8,94,75,4.61
113,Iqaluit,CA,2021-04-27 23:21:48,63.7506,-68.5145,23.0,74,20,6.91
114,Thai Binh,VN,2021-04-27 23:21:49,20.45,106.3333,75.2,88,75,2.3
115,New Norfolk,AU,2021-04-27 23:21:49,-42.7826,147.0587,52.0,86,92,1.99
116,Sept-Iles,CA,2021-04-27 23:21:49,50.2001,-66.3821,46.4,71,75,8.05
117,Fort Myers Beach,US,2021-04-27 23:21:49,26.452,-81.9481,84.2,48,1,10.36
118,Parry Sound,CA,2021-04-27 23:21:49,45.3501,-80.033,53.6,58,100,4.41
119,Dingle,PH,2021-04-27 23:21:50,10.9995,122.6711,78.39,80,98,6.76
120,Peterhead,GB,2021-04-27 23:21:50,57.5058,-1.7981,43.0,93,90,8.05
